Time,Indicator,Amount
2000-06-01,Capital Expenditure,18584.0
2000-07-01,Capital Expenditure,1360.0
2000-08-01,Capital Expenditure,1909.0
2000-09-01,Capital Expenditure,5450.0
2000-10-01,Capital Expenditure,7396.0
2000-11-01,Capital Expenditure,9646.0
2000-12-01,Capital Expenditure,12707.0
2001-01-01,Capital Expenditure,13659.0
2001-02-01,Capital Expenditure,14807.0
2001-03-01,Capital Expenditure,22196.0
2001-04-01,Capital Expenditure,23466.0
2001-05-01,Capital Expenditure,28892.0
2001-06-01,Capital Expenditure,33980.0
2001-07-01,Capital Expenditure,1007.0
2001-08-01,Capital Expenditure,3542.0
2001-09-01,Capital Expenditure,4609.0
2001-10-01,Capital Expenditure,6140.0
2001-11-01,Capital Expenditure,7676.0
2001-12-01,Capital Expenditure,8551.0
2002-01-01,Capital Expenditure,10555.0
2002-02-01,Capital Expenditure,12057.0
2002-03-01,Capital Expenditure,13467.0
2002-04-01,Capital Expenditure,15218.0
2002-05-01,Capital Expenditure,20459.0
2002-06-01,Capital Expenditure,24953.0
2002-07-01,Capital Expenditure,1780.0
2002-08-01,Capital Expenditure,5340.0
2002-09-01,Capital Expenditure,7985.0
2002-10-01,Capital Expenditure,9576.0
2002-11-01,Capital Expenditure,12757.0
2002-12-01,Capital Expenditure,14794.0
2003-01-01,Capital Expenditure,17438.0
2003-02-01,Capital Expenditure,19240.5
2003-03-01,Capital Expenditure,21043.0
2003-04-01,Capital Expenditure,29145.0
2003-05-01,Capital Expenditure,35248.0
2003-06-01,Capital Expenditure,43526.0
2003-07-01,Capital Expenditure,2438.0
2003-08-01,Capital Expenditure,6756.0
2003-09-01,Capital Expenditure,7676.0
2003-10-01,Capital Expenditure,8740.0
2003-11-01,Capital Expenditure,11742.0
2003-12-01,Capital Expenditure,14910.0
2004-01-01,Capital Expenditure,16894.0
2004-02-01,Capital Expenditure,20046.0
2004-03-01,Capital Expenditure,22039.0
2004-04-01,Capital Expenditure,25615.0
2004-05-01,Capital Expenditure,27028.0
2004-06-01,Capital Expenditure,37711.0
2004-07-01,Capital Expenditure,3160.0
2004-08-01,Capital Expenditure,4162.0
2004-09-01,Capital Expenditure,7661.0
2004-10-01,Capital Expenditure,9516.0
2004-11-01,Capital Expenditure,13593.5
2004-12-01,Capital Expenditure,14922.0
2005-01-01,Capital Expenditure,21388.0
2005-02-01,Capital Expenditure,24158.0
2005-03-01,Capital Expenditure,25268.0
2005-04-01,Capital Expenditure,29621.0
2005-05-01,Capital Expenditure,35328.0
2005-06-01,Capital Expenditure,45627.0
2005-07-01,Capital Expenditure,3533.0
2005-08-01,Capital Expenditure,8785.0
2005-09-01,Capital Expenditure,13458.0
2005-10-01,Capital Expenditure,16821.0
2005-11-01,Capital Expenditure,19157.0
2005-12-01,Capital Expenditure,23847.0
2006-01-01,Capital Expenditure,30397.0
2006-02-01,Capital Expenditure,34745.0
2006-03-01,Capital Expenditure,41437.0
2006-04-01,Capital Expenditure,44350.0
2006-05-01,Capital Expenditure,53415.0
2006-06-01,Capital Expenditure,60301.0
2006-07-01,Capital Expenditure,372.0
2006-08-01,Capital Expenditure,8824.0
2006-09-01,Capital Expenditure,13901.0
2006-10-01,Capital Expenditure,19034.0
2006-11-01,Capital Expenditure,25858.4
2006-12-01,Capital Expenditure,30276.9
2007-01-01,Capital Expenditure,36409.0
2007-02-01,Capital Expenditure,41924.0
2007-03-01,Capital Expenditure,53094.0
2007-04-01,Capital Expenditure,57472.0
2007-05-01,Capital Expenditure,65153.0
2007-06-01,Capital Expenditure,81053.0
2007-07-01,Capital Expenditure,2751.0
2007-08-01,Capital Expenditure,13432.0
2007-09-01,Capital Expenditure,16275.0
2007-10-01,Capital Expenditure,31232.0
2007-11-01,Capital Expenditure,45560.0
2007-12-01,Capital Expenditure,51723.0
2008-01-01,Capital Expenditure,61951.0
2008-02-01,Capital Expenditure,67992.0
2008-03-01,Capital Expenditure,75538.0
